,Sub0,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9,Sub10,Sub11,Sub12,Sub13,Sub14,Sub15,Sub16,Sub17,Sub18,Sub19
Tri0,2797.224239828241,1039.5712117394362,4045.345951745229,3530.9342100620365,2410.276347504243,6541.494155759339,1977.9198423762534,2343.555593573933,143.6959636473829,8147.939690976418,5183.9424228793105,4548.240971150676,2076.921295715758,4230.548795494785,4134.589984296459,2067.1322949067744,4087.049470605244,2704.327437005268,2790.476384335544,5141.106291583466
Tri1,786.8950886240336,3076.223065932345,1033.3104178778,3758.043454335165,4000.8057776970068,2756.8029962742353,2918.7681163870016,2613.934992219339,2655.6844340872267,7410.33780721047,3182.903975418915,4324.103096050639,1843.5062770383493,1338.4532349649435,2693.772203172661,7239.094852865774,1320.715043413701,4449.372348651921,1085.8844831392046,3556.2316709868182
Tri2,3516.9023955516577,4632.818016081039,4874.0661554332155,3031.37740242657,2485.677228087907,4929.841314031237,435.95039857844375,3059.241732938139,2923.325599791208,3530.38902097887,3002.5552291596587,7537.78186664717,1989.2491648590078,4513.510928211454,4473.733040258634,7422.364759189634,3338.1647174078557,4840.676785978871,2721.343095124017,1972.689272480762
Tri3,333.8818302126029,104.44847574731087,2304.093855721315,586.0982657802874,4575.178155251512,2365.682721137313,1285.101296420612,5050.566342506548,2446.8706056755714,5096.855056587258,1047.6030064807946,5431.187785285006,2879.554453728736,311.3190598574355,2814.3858089415116,3396.5001935847913,1324.7800812971468,1518.9919792774688,1676.3952225335715,2051.924695321461
Tri4,6790.330060789712,2629.7510463706117,3148.222057588034,1894.867975145098,2274.05748513254,8186.457040966597,1195.2538809888433,3747.385847106286,1456.6945406635791,3437.1598778912435,6745.578676100341,4101.871682222117,1944.7737747511687,1571.9421344937432,3186.806328129961,6588.5623778497875,2866.277989137589,2079.8808396471004,1086.0631385461072,7051.740732382455
Tri5,3047.828257936105,397.03830187866066,114.21564076191393,4089.8996009332704,4049.434461958741,4025.464730651303,2638.680380053046,1885.518601663397,307.87414512227434,1883.1115579443274,4216.585496293725,3179.8540355715368,2370.7400802817237,1178.494817987589,2048.8126016211645,5268.01620961758,3215.2741116112047,1073.4975808451236,68.1848226214601,4022.0433212193684
Tri6,2176.5970446080537,3552.355757322198,1973.393086696196,4362.043226492828,5170.251440851424,6009.945843009893,724.7581331116465,3600.654490873768,501.5855707891167,3658.0429499224388,1796.3537494122709,2115.447625026855,2434.7675711114302,2890.637332753825,1354.3107940516518,2957.5103504030512,1447.5679161442788,2020.8936164993945,3598.6577111305005,1439.3849095372727
Tri7,7505.7817996188305,3250.1152373858836,1378.417119291123,5991.874044843115,143.60617592400703,6485.648063625053,543.664038645618,2136.8439382098304,1224.5118800089394,6117.384527484929,2269.914529480181,5853.215276026637,1970.5363780499154,2433.7925968504833,2363.395834022265,1330.2076057946526,6592.48432358361,3009.042214353542,256.5782480122374,2584.7296501716323
Tri8,3290.2771508101296,2180.4194401332284,1069.3226705250827,5277.547086288153,2287.661406156882,5077.853063154849,2893.314803258049,4536.102481646956,2106.468810547636,1775.207527745876,3120.3398177156487,2296.4673124836922,3544.4221871354966,4943.839493016189,2156.873735602061,4923.989022020086,1152.0210826363264,2550.905618950072,1914.4281978558304,3390.9085811669042
Tri9,1881.5818973167536,1168.3343724421316,2808.5128159716637,2198.630267904584,1688.4882194837376,2049.2459757865345,1336.2945298717004,4475.980197450688,341.6137923881123,1397.7178551360653,5802.017010353284,1227.1850744063279,2183.9882024124386,266.1886030786355,5280.917742370512,4852.98186141509,2825.5403271088835,2645.230368215556,233.15060361767627,4912.713861196435
Tri10,3646.3139334941557,1625.6598625353963,3206.4401788513123,1194.5697147145595,1939.3837341337064,1879.1575906301307,4970.830738567511,4134.752285553679,1298.460972155551,1956.6284093327454,2732.487734531616,9493.14789561855,2475.47673998761,738.7158091581713,2294.571906921148,1304.6518700636796,3412.442107088107,2469.096864944562,2715.1302580477754,4059.1369551177368
Tri11,3931.5161917491528,192.5666450704864,1403.4701976446077,3397.29572909701,4681.754009842617,6591.613394388301,2980.007208820237,2485.156211789393,522.0509507713754,4378.77887303,3018.287764286719,2650.1841761649,14.216346294220084,3716.3127160907648,6855.044510054517,1247.417970306237,1424.2238686724695,3058.8373969364447,4825.153445218305,1377.7794594960142
Tri12,4308.815581769666,1591.3002604780859,5504.7186592989465,4046.082574517931,2555.540064157666,5113.4265381327805,2593.246609535991,4443.971193691653,2563.882354322678,5391.326624076225,292.4094688681725,4356.282689926718,579.0645600089903,3869.1931045883052,4032.3267613851294,3886.2071901353343,37.948280365656,2477.45641348029,7079.723259064984,2880.0585050050013
Tri13,2004.2325083576627,1972.6000352344088,2536.188940344601,1908.891889038449,4091.16630111147,1679.6087728443783,7583.853123169824,4023.633502819321,1786.137312546733,3038.5119769118987,3821.388412769777,3700.1120114753608,2047.4327987757013,3722.822930327283,3277.862187764461,3697.00738231122,4759.4222851329105,1278.100407353502,1124.765465042185,6248.230659230329
Tri14,6017.817485924979,644.9559121138362,1987.8205823332016,2354.542490090481,1388.969163359251,2372.667094124715,479.2987973741855,1233.2386167496654,3057.372751826969,3146.273530791672,8460.18168377893,5154.616079371824,3210.443052826017,2303.223105847258,8024.009753658537,1431.5023362404206,2805.812304189471,209.45264934261544,29.28691518100901,5605.288287834072
Tri15,2601.305282689736,3594.655184367413,2371.4593752155897,3938.3444429212855,2853.16665501176,4711.309827075276,3898.2848334425817,3572.704270043711,1310.699188467277,4263.84302277125,1057.8860203708819,2406.319185218124,2624.2367411637633,4550.713882843678,3741.8352165375236,1844.6056776018613,6603.612970587575,1632.182449740818,1717.0011765698869,4712.96428021813
